service_id,provider,service_name,context,category,free_tier,free_tier_type,free_tier_description
aws-cloudshell,AWS,AWS CloudShell,Command line access to AWS resources and tools directly from a browser.,Developer Tools,No,No free tier type,No free tier available
aws-codeartifact,AWS,AWS CodeArtifact,"Secure, scalable, and cost-effective artifact management for software development.",Developer Tools,Yes,Always,"First 2GB of storage per month and First 100,000 requests per month"
aws-codebuild,AWS,AWS CodeBuild,Fully managed build service that builds and tests code in the cloud.,Developer Tools,Yes,Always,100 build minutes per month of build.general1.small compute type usage
aws-codecommit,AWS,AWS CodeCommit,Store code in private Git repositories.,Developer Tools,Yes,Always,"5 active users per month, 50 GB-month of storage per month, and 10,000 Git requests per month."
aws-codedeploy,AWS,AWS CodeDeploy,Automate code deployments.,Developer Tools,No,No free tier type,No free tier available
aws-codepipeline,AWS,AWS CodePipeline,Release software using continuous delivery.,Developer Tools,Yes,Always,1 Active Pipeline per month
aws-codestar,AWS,AWS CodeStar,Develop and deploy AWS applications.,Developer Tools,No,No free tier type,No free tier available
aws-command-line-interface,AWS,AWS Command Line Interface (CLI),Line interface unified tool to manage AWS Services.,"Developer Tools, Management and governance",No,No free tier type,No free tier available
aws-device-farm,AWS,AWS Device Farm,"Test Android, iOS, and web apps on real devices in the AWS cloud.","Developer Tools, Front-End Web & Mobile",Yes,Free Trial,"Free one-time trial of 1,000 Device Minutes"
aws-fault-injection-service,AWS,AWS Fault Injection Service,Improve resiliency and performance with controlled experiments.,Developer Tools,No,No free tier type,No free tier available
aws-tools-and-sdks,AWS,AWS Tools and SDKs,Tools and SDKs for AWS.,Developer Tools,No,No free tier type,No free tier available
aws-x-ray,AWS,AWS X-Ray,Analyze and debug your applications.,Developer Tools,Yes,Always,"100,000 traces recorded per month and 1,000,000 traces scanned or retrieved per month"
aws-location-service,AWS,Amazon Location Service,Securely and easily add location data to applications.,Front-End Web & Mobile,Yes,3 Months,"3 Months free trial with 500k map tiles, 200k position writes, 200k position evaluations, 10k each of all other items except addresses geocoded or positions reverse-geocoded where the result is stored, and geofence-months"
aws-pinpoint,AWS,Amazon Pinpoint,Multichannel marketing communications.,"Front-End Web & Mobile, Business Application",Yes,12 Months,"5,000 free targeted users per month, 1,000,000 free push notifications per month,100,000,000 events per month, and 15,000 In-app Message API requests per month."
aws-simple-email-service,AWS,Amazon Simple Email Service (SES),High-scale inbound and outbound email.,"Front-End Web & Mobile, Business Application",Yes,12 Months,"3,000 message charges per month, including outbound emails, inbound emails, and Virtual Deliverability Manager outbound email processing."
aws-amplify,AWS,AWS Amplify,"Build, deploy, host, and manage scalable web and mobile apps.",Front-End Web & Mobile,Yes,12 Months,"Build & Deploy - 1,000 build minutes per month, Data Storage - 5 GB stored per month, Data Transfer Out - 15 GB served per month, Request Count (SSR) - 500,000 requests per month, and Request Duration (SSR) - 100 GB-hours per month."
aws-appsync,AWS,AWS AppSync,"Accelerate app development withh fully-managed, scalable GraphQL APIs.",Front-End Web & Mobile,Yes,12 Months,"250,000 query or data modification operations, 250,000 real-time updates, and 600,000 connection-minutes."
aws-appstream,AWS,Amazon AppStream 2.0,Stream desktop application securely to a browser.,End User Computing,Yes,Free Trial,40 hours per month of Windows stream.standard.large image builder usage
aws-workspaces-family,AWS,Amazon WorkSpaces Family,Virtual desktop services for every use case.,End User Computing,No,No free tier type,No free tier available
aws-workspaces-thin-client,AWS,Amazon WorkSpaces Thin Client,"Amazon WorkSpaces Thin Client reduces costs, simplifies logistics, speeds time to deployment, and works with AWS virtual desktop services.",End User Computing,No,No free tier type,No free tier available
aws-appflow,AWS,Amazon AppFlow,No-code integration for SaaS apps & AWS services,Integration,No,No free tier type,No free tier available
aws-eventbridge,AWS,Amazon EventBridge,Serverless event bus for SaaS app & AWS services.,Integration,Yes,Always,Event buses: All state change events published by AWS services by default are free. Scheduler: 14 million scheduled free invocations per month. Schema Discovery: 5 million ingested events per month.
aws-managed-workflows-for-apache-airflow,AWS,Amazon Managed Workflows for Apache Airflow (MWAA),"Highly available, secure, and managed workflow orchestration for Apache Airflow.",Integration,No,No free tier type,No free tier available
aws-mq,AWS,Amazon MQ,Managed message broker service.,Integration,Yes,12 Months,750 Hours of a single-instance mq.t2.micro or mq.t3.micro broker per month using either ActiveMQ or RabbitMQ
aws-simple-notification-service,AWS,Amazon Simple Notification Service (SNS),"Pub/sub, SMS, email, and mobile push notifications.",Integration,Yes,Always,"1 Million publishes, 100,000 HTTP/S Deliveries and 1,000 Email Deliveries."
aws-simple-queue-service,AWS,Amazon Simple Queue Service (SQS),Managed message queues.,Integration,Yes,Always,1 Million requests
aws-step-functions,AWS,AWS Step Functions,Coordination for distributed applications.,Integration,Yes,Always,"4,000 state transitions per month"
aws-b-data-interchange,AWS,B2B Data Interchange,AWS B2B Data Interchange automates the transformation fo EDI documents into common data representations such as JSON and XML at scale.,Integration,No,No free tier type,No free tier available
aws-athena,AWS,Amazon Athena,Query data in S3 using SQL,Analytics,No,No free tier type,No free tier available
aws-cloudsearch,AWS,Amazon CloudSearch,Managed search service,Analytics,Yes,Free Trial,"During the 30-day free trial period, you can use, 750 total hours of Amazon CloudSearch search instances, 10,000 document batch uploads (each batch with a maximum size of 5 MB), and 10 IndexDocuments requests."
aws-datazone,AWS,Amazon DataZone,Unlock data across organizational boundaries with built-in governance.,Analytics,No,No free tier type,No free tier available
aws-emr,AWS,Amazon EMR,Hosted Hadoop framework,Analytics,No,No free tier type,No free tier available
aws-emr-serverless,AWS,Amazon EMR Serverless,Run big data applications using open-source framework without managing clusters and servers.,Analytics,No,No free tier type,No free tier available
aws-finspace,AWS,Amazon FinSpace,"Store, catalog, prepare, and analyze financial industry data in minutes.",Analytics,No,No free tier type,No free tier available
aws-kinesis,AWS,Amazon Kinesis,Analyze real-time video and data streams.,Analytics,No,No free tier type,No free tier available
aws-managed-streaming-for-apache-kafka-(amazon-msk),AWS,Amazon Managed Streaming for Apache Kafka (Amazon MSK) Serverless,Easily stream data with Amazon MSK without managing cluster capacity.,Analytics,No,No free tier type,No free tier available
aws-managed-streaming-for-apache-kafka,AWS,Amazon Managed Streaming for Apache Kafka (MSK),Fully managed Apache Kafka service.,Analytics,No,No free tier type,No free tier available
aws-opensearch-serverless,AWS,Amazon OpenSearch Serverless,Deliver search and log analytics without provisioning and adjusting resources.,Analytics,No,No free tier type,No free tier available
aws-opensearch-service,AWS,Amazon OpenSearch Service,"Search, visualize, and analyze up to petabytes of text and unstructured data.",Analytics,Yes,12 Months,"750 Hours per month of a single-AZ t2.small.search or t3.small.search instance, and 10GB per month of optional EBS storage (Magnetic or General Purpose)."
aws-q-in-quicksight,AWS,Amazon Q in QuickSight,Reinvent business intelligence and enhance business productivity with Generative BI capabilities in QuickSight.,Analytics,No,No free tier type,No free tier available
aws-quicksight,AWS,Amazon QuickSight,Fast business analytics service.,Analytics,Yes,Free Trial,10 GB of SPICE capacity for the first 30 days for free for a total of 4 users
aws-quicksight-paginated-reports,AWS,Amazon QuickSight Paginated Reports,"Create, schedule, and share reports and data exports.",Analytics,No,No free tier type,No free tier available
aws-redshift-serverless,AWS,Amazon Redshift Serverless,Get insights from data in seconds without having to manage data warehouse infrastructure.,Analytics,No,No free tier type,No free tier available
aws-redshift-integration-for-apache,AWS,Amazon Redshift Integration for Apache Spark,Build Apache Spark apps that read and write data from Amazon Redshift.,Analytics,No,No free tier type,No free tier available
aws-spark-support-on-amazon,AWS,Apache Spark support on Amazon Athena,Run interactive analytics on Apache Spark in under a second.,Analytics,No,No free tier type,No free tier available
aws-data-prep-for-amazon-quicksight,AWS,Automated data-prep for Amazon QuickSight Q,Answer your business questions by quickly and easily enabling your data for natural language search.,Analytics,No,No free tier type,No free tier available
aws-clean-rooms,AWS,AWS Clean Rooms,"Match, analyze, and collaborate on datasets-without sharing of revealing underlying data.",Analytics,No,No free tier type,No free tier available
aws-clean-rooms-ml,AWS,AWS Clean Rooms ML,"Apply machine learning with your partners, without sharing underlying data.",Analytics,No,No free tier type,No free tier available
aws-data-exchange,AWS,AWS Data Exchange,"Find, subscribe to, and use third-party data in the cloud.",Analytics,Yes,Always,"1,600+ free third-party data sets"
aws-data-pipeline,AWS,AWS Data Pipeline,"Orchestration service for periodic, data-driven workflows.",Analytics,Yes,12 Months,3 Low Frequency Preconditions and 5 Low Frequency Activities
aws-glue,AWS,AWS Glue,"Simple, scalable, and serverless data integration.",Analytics,Yes,Always,1 Million objects stored in the AWS Glue Data Catalog and 1 Million requests made per month to the AWS Glue Data Catalog
aws-glue-data-quality,AWS,AWS Glue Data Quality,Deliver High-Quality data across your data lakes and pipelines.,Analytics,No,No free tier type,No free tier available
aws-glue-for-ray,AWS,AWS Glue for Ray,"Scale and simplify with python code for ETL, made serverless.",Analytics,No,No free tier type,No free tier available
aws-lake-formation,AWS,AWS Lake Formation,Build a secure data lake in days.,Analytics,No,No free tier type,No free tier available
aws-expanded-api-capabilites-in-amazon,AWS,New expanded API capabilites in Amazon QuickSight,Programmatically create and manage dashboards in Amazon QuickSight and accelerate migration to the cloud.,Analytics,No,No free tier type,No free tier available
aws-elastic-container-registry,AWS,Amazon Elastic Container Registry (ECR),"Easily store, manage, and deploy container images.",Containers,Yes,12 Months,50 GB of storage for public repositories
aws-app2container,AWS,AWS App2Container,Containerize and migrate existing applications.,Containers,No,No free tier type,No free tier available
aws-copilot,AWS,AWS Copilot,AWS Copilot is the easiest way to launch and manage your containerized application on AWS.,Containers,No,No free tier type,No free tier available
aws-marketplace-for-containers,AWS,AWS Marketplace for Containers Anywhere,"Find, subscribe to, and deploy third-party applications that run in any Kubernetes environment.",Containers,No,No free tier type,No free tier available
aws-hat-openshift-service-on,AWS,Red Hat OpenShift Service on AWS,Managed OpenShift in the cloud.,Containers,No,No free tier type,No free tier available
aws-iot-core,AWS,AWS IoT Core,Connect devices to the cloud.,Internet of Things,Yes,12 Months,"500,000 Messages (published or delivered) per month"
aws-iot-fleetwise.,AWS,AWS IoT FleetWise.,"Easily collect, transform, and transfer vehicle data to the cloud in near-real time.",Internet of Things,No,No free tier type,No free tier available
aws-iot-sitewise,AWS,AWS IoT SiteWise,IoT data collector and interpreter.,Internet of Things,No,No free tier type,No free tier available
aws-iot-twinmaker,AWS,AWS IoT TwinMaker,Optimize operations by easily creating digital twins of real-world systems.,Internet of Things,No,No free tier type,No free tier available
aws-iot-greengrass,AWS,AWS IoT Greengrass,"Local compute, messaging, and sync for devices.",Internet of Things,Yes,12 Months,3 devices for free
aws-iot-one-click,AWS,AWS IoT One-Click,One click creation of an AWS Lambda trigger.,Internet of Things,No,No free tier type,No free tier available
aws-iot-analytics,AWS,AWS IoT Analytics,Analytics for IoT devices.,Internet of Things,No,No free tier type,No free tier available
aws-iot-button,AWS,AWS IoT Button,Cloud programmable dash button.,Internet of Things,No,No free tier type,No free tier available
aws-iot-device-defender,AWS,AWS IoT Device Defender,Security management for IoT devices.,Internet of Things,No,No free tier type,No free tier available
aws-iot-device-management,AWS,AWS IoT Device Management,"Onboard, organize, and remotely manage IoT devices.",Internet of Things,Yes,12 Months,50 remote actions per month.
aws-iot-edukit,AWS,AWS IoT Edukit,Learn how to build simple IoT applications with reference hardware and step-by-step tutorials.,Internet of Things,No,No free tier type,No free tier available
aws-iot-events,AWS,AWS IoT Events,IoT event detection and response.,Internet of Things,Yes,12 Months,"2,500 message evaluations per month for the first 12 months from the date you create your AWS account."
aws-iot-expresslink,AWS,AWS IoT ExpressLink,Quickly and easily develop secure IoT.,Internet of Things,No,No free tier type,No free tier available
aws-iot-roborunner,AWS,AWS IoT RoboRunner,Build applications that help fleets of robots work together seamlessly.,Internet of Things,No,No free tier type,No free tier available
aws-partner-device-catalog,AWS,AWS Partner Device Catalog,Curated catalog of AWS-compatible IoT hardware.,Internet of Things,No,No free tier type,No free tier available
aws-freertos,AWS,FreeRTOS,Real-time operating system for microcontrollers.,Internet of Things,No,No free tier type,No free tier available
aws-cloudwatch,AWS,Amazon CloudWatch,Monitor resources and applications.,Management and governance,Yes,Always,"10 custom metrics and alarms, 1,000,000 API Requests, 5GB of Log Data Ingestion and 5GB of Log Data Archive, and 3 Dashboards with up to 50 Metrics Each per Month."
aws-cloudwatch-internet-monitor,AWS,Amazon CloudWatch Internet Monitor,"Visualize your application's global internet health and diagnose issues in minutes, not days.",Management and governance,No,No free tier type,No free tier available
aws-managed-grafana,AWS,Amazon Managed Grafana,"Scalable, secure, and highly available data visualization for your operational metrics, logs, and traces.",Management and governance,No,No free tier type,No free tier available
aws-managed-service-for-prometheus,AWS,Amazon Managed Service for Prometheus,"Highly available, secure, and managed monitoring for your containers.",Management and governance,Yes,Always,"40 Million Metric samples ingested, 200 B Query samples processed, 10 GB Metrics stored."
aws-chatbot,AWS,AWS Chatbot,ChatOps for AWS.,Management and governance,No,No free tier type,No free tier available
aws-cloudformation,AWS,AWS CloudFormation,Create and manage resources with templates.,Management and governance,Yes,Always,"1,000 handler operations per month per account"
aws-cloudtrail,AWS,AWS CloudTrail,Track user activity and API usage.,Management and governance,Yes,Always,1 trail that delivers a single copy of management events in each region. Amazon S3 charges apply.
aws-config,AWS,AWS Config,Track resources inventory and changes.,Management and governance,No,No free tier type,No free tier available
aws-control-tower,AWS,AWS Control Tower,"Set up and govern a secure, compliant multi-account environment.",Management and governance,Yes,Always,Always free with no additional charges
aws-control-tower-data-residency,AWS,AWS Control Tower Data Residency Guardrails,Keep your customer data in specific AWS Regions.,Management and governance,No,No free tier type,No free tier available
aws-distro-for-opentelemetry,AWS,AWS Distro for OpenTelemetry,"Secure, production-ready open source distribution with predictable  performance.",Management and governance,No,No free tier type,No free tier available
aws-health,AWS,AWS Health,Data source for events and changes affecting your AWS cloud resources.,Management and governance,No,No free tier type,No free tier available
aws-launch-wizard,AWS,AWS Launch Wizard,"Easily size, configure, and deploy third party applications on AWS.",Management and governance,No,No free tier type,No free tier available
aws-license-manager,AWS,AWS License Manager,"Track, manage, and control licenses.",Management and governance,Yes,Always,Unlimited - set as many rules as you want to manage third-party license usage
aws-managed-services,AWS,AWS Managed Services,Infrastructure operations management for AWS.,Management and governance,No,No free tier type,No free tier available
aws-management-console,AWS,AWS Management Console,Web-based user interface.,Management and governance,No,No free tier type,No free tier available
aws-management-console-mobile,AWS,AWS Management Console Mobile Application,Access resources on the go.,Management and governance,No,No free tier type,No free tier available
aws-opsworks,AWS,AWS OpsWorks,Automate operations with Chef and Puppet.,Management and governance,Yes,12 Months,"7,500 node hours (which equals 10 nodes) per month
"
aws-organizations,AWS,AWS Organizations,Central governance and management across AWS accounts.,Management and governance,Yes,Always,"Unlimited, Available to all AWS customers at no additional charge."
aws-personal-health-dashboard,AWS,AWS Personal Health Dashboard,Personalized view of AWS Service health.,Management and governance,No,No free tier type,No free tier available
aws-proton,AWS,AWS Proton,Automate management for container and serverless deployments.,Management and governance,No,No free tier type,No free tier available
aws-resilience-hub,AWS,AWS Resilience Hub,Prepare and protect your applications from disruptions.,Management and governance,Yes,Free Trial,"free for 6 months, for your first 3 applications."
aws-service-catalog,AWS,AWS Service Catalog,Create and use standardized products.,Management and governance,Yes,Always,"The AWS Service Catalog free tier includes 1,000 API calls per month. If you exceed this number of calls per month, you will be charged the AWS Services Catalog usage rates."
aws-service-management-connector,AWS,AWS Service Management Connector,"Provision, manage and operate AWS resources within Service Management Tools.",Management and governance,No,No free tier type,No free tier available
aws-systems-manager,AWS,AWS Systems Manager,Gain operational insights and take action.,Management and governance,Yes,Always,"12 Free AWS Systems Manager Features include Explorer, Resource Groups, Insights Dashboard, Inventory, Run Command, Session Manager, Patch Manager, Maintenace Window, State Manager, Parameter Store, On-Premises Instance Management, Distributor."
aws-trusted-advisor,AWS,AWS Trusted Advisor,Optimize performance and security.,Management and governance,No,No free tier type,No free tier available
aws-user-notifications,AWS,AWS User Notifications ,Configure and view notifications from AWS services.,Management and governance,No,No free tier type,No free tier available
aws-well-architected-tools,AWS,AWS Well-Architected Tools,Review and improve your workloads.,Management and governance,Yes,Always,Unlimited workload reviews
aws-elastic-transcoder,AWS,Amazon Elastic Transcoder,Easy-to-use scalable media transcoding.,Media Services,Yes,12 Months,20 Minutes of audio transcoding
aws-interactive-video-service,AWS,Amazon Interactive Video Service,Build engaging live stream experiences.,Media Services,Yes,12 Months,"100 Hours of SD video output per month, 5 hours of basic video input per month, and 20 participant hours per month."
aws-kinesis-video-streams,AWS,Amazon Kinesis Video Streams,Process and analyze video streams.,Media Services,No,No free tier type,No free tier available
aws-nimble-studio,AWS,Amazon Nimble Studio,Accelerate content creation in the cloud.,Media Services,No,No free tier type,No free tier available
aws-deadline-cloud,AWS,AWS Deadline Cloud,Cloud render management.,Media Services,No,No free tier type,No free tier available
aws-elemental-appliances-&,AWS,AWS Elemental Appliances & Software,On-premises media solutions.,Media Services,No,No free tier type,No free tier available
aws-elemental-mediaconnect,AWS,AWS Elemental MediaConnect,Reliable and secure live video transport.,Media Services,Yes,Always,100 GB of free data transfer out to the internet free each month (except China and GovCloud)
aws-elemental-mediaconvert,AWS,AWS Elemental Mediaconvert,Convert file-based video content.,Media Services,No,No free tier type,No free tier available
aws-elemental-medialive,AWS,AWS Elemental MediaLive,Convert live video content.,Media Services,No,No free tier type,No free tier available
aws-elemental-mediapackage,AWS,AWS Elemental MediaPackage,Video origination and packaging.,Media Services,No,No free tier type,No free tier available
aws-elemental-mediastore,AWS,AWS Elemental MediaStore,Media storage and simple http origin.,Media Services,No,No free tier type,No free tier available
aws-elemental-mediatailor,AWS,AWS Elemental MediaTailor,Video personalization and monetization.,Media Services,No,No free tier type,No free tier available
aws-application-migration-service,AWS,AWS Application Migration Service,Automate application migration and modernization.,Migration,Yes,Always,Migrate an unlimited number of servers at no charge (for up to 90 days per server).
aws-application-discovery-service,AWS,AWS Application Discovery Service,Discover on-premises applications to streamline migration.,Migration,Yes,Always,1000 applications per account
aws-database-migration-service,AWS,AWS Database Migration Service (DMS),Migrate databases with minimal downtime.,Migration,Yes,Always,750 Hours of Amazon DMS Single-AZ dms.t3.micro instance usage and 50 GB of included General Purpose (SSD) storage
aws-datasync,AWS,AWS DataSync,"Simple, fast, online data transfer.",Migration,No,No free tier type,No free tier available
aws-mainframe-modernization,AWS,AWS Mainframe Modernization,"Migrate, modernize, operate, and run mainframe workloads.",Migration,No,No free tier type,No free tier available
aws-migration-hub,AWS,AWS Migration Hub,Track migrations from a single place.,Migration,Yes,Always,"Unlimited, Track an unlimited number of applications and obtain unlimited EC2 recommendations."
aws-snowball,AWS,AWS Snowball,Accelerate moving offline data or remote storage to the cloud.,Migration,No,No free tier type,No free tier available
aws-transfer-family,AWS,AWS Transfer Family,"Easily manage and share data with simple, secure, and scalable file transfers.",Migration,No,No free tier type,No free tier available
aws-migration-evaluator-(formerly-tso,AWS,Migration Evaluator (formerly TSO Logic),Create a business case for cloud migration.,Migration,Yes,Always,"Unlimited pre-migration assessment requests to simplify discovery, project cloud costs and accelerate migration decisions."
aws-braket,AWS,Amazon Braket,Accelerate quantum computing research.,Quantum Technologies,Yes,Free Trial,1 Hour of free access to the quantum simulators
aws-robomaker,AWS,AWS RoboMaker,"Develop, test, and deploy robotics applications.",Robotics,Yes,Free Trial,25 SU-hours for free
aws-ground-station,AWS,AWS Ground Station,Fully managed ground station as a service.,Satellite,No,No free tier type,No free tier available
aws-managed-blockchain,AWS,Amazon Managed Blockchain,Create and manage scalable blockchain networks.,Blockchain,No,No free tier type,No free tier available
aws-quantum-ledger-database,AWS,Amazon Quantum Ledger Database (QLDB),Fully managed ledger database.,Blockchain,No,No free tier type,No free tier available
aws-budgets,AWS,AWS Budgets,Set custom cost and usage budgets.,Cloud Financial Management,Yes,Always,62 Budget-days for free per month as part of AWS Free Usage Tier (ActionEnabledBudgetsUsage)
aws-cost-and-usage,AWS,AWS Cost and Usage Report,Access comprehensive cost and usage information.,Cloud Financial Management,No,No free tier type,No free tier available
aws-cost-explorer,AWS,AWS Cost Explorer,Analyze your AWS cost and usage.,Cloud Financial Management,No,No free tier type,No free tier available
aws-reserved-instance-ri-reporting,AWS,Reserved Instance (RI) Reporting,Dive deeper into your reserved instances (RIs),Cloud Financial Management,No,No free tier type,No free tier available
aws-plans,AWS,Savings Plans,Save up to 72% on compute usage with flexible pricing.,Cloud Financial Management,No,No free tier type,No free tier available
aws-alexa-for-business,AWS,Alexa for Business,Empower your organization with Alexa.,Business Applications,Yes,Free Trial,"For a limited time, eligible AWS customers can get up to 60 days free with access to: Unlimited number of cases with responses less than one hour via phone, chat, and web. 450+ personalized recommendations to optimize cost and increase security. Automated workflows to diagnose and resolve common support issues."
aws-chime,AWS,Amazon Chime,"Frustration-free meetings, video calls, and chat.",Business Applications,Yes,Free Trial,Amazon Chime Pro subscription offers free online meetings and video conferencing for 30 days
aws-chime-sdk,AWS,Amazon Chime SDK,"Real-time messaging, audio, video, and screen sharing.",Business Applications,No,No free tier type,No free tier available
aws-connect,AWS,Amazon Connect,Omnichannel cloud contact center.,Business Applications,Yes,12 Months,90 minutes per month of Amazon Connect usage
aws-connect-forecasting-capacity-planning-and-scheduling,AWS,"Amazon Connect forecasting, capacity planning, and scheduling",Respond faster to capacity and workforce changes with ML-powered contact center capabilites.,Business Applications,No,No free tier type,No free tier available
aws-dash-cart,AWS,Amazon Dash Cart,Empower consumers to shop with efficiency and ease.,Business Applications,No,No free tier type,No free tier available
aws-honeycode,AWS,Amazon Honeycode,Build mobile & web apps without programming.,Business Applications,No,No free tier type,No free tier available
aws-one-enterprise,AWS,Amazon One Enterprise,"A secure, palm-based identity service for enterprise access control.",Business Applications,No,No free tier type,No free tier available
aws-workdocs,AWS,Amazon WorkDocs,Secure enterprise document storage and sharing.,Business Applications,Yes,Free Trial,30 day Free Trial with 1 TB of storage per user for up to 50 users
aws-workmail,AWS,Amazon WorkMail,Secure email and calendaring.,Business Applications,No,No free tier type,No free tier available
aws-appfabric,AWS,AWS AppFabric,AWS AppFabric quickly connect SaaS applications to work better together for enhanced security observability and increase employee productivity.,Business Applications,Yes,Free Trial,30 Days free with Trial supports the use of all AppFabric features across 2 supported applications.
aws-end-user-messaging,AWS,AWS End User Messaging,"Dependable, cost-effective messaging without compromising safety, security, or results.",Business Applications,No,No free tier type,No free tier available
aws-supply-chain,AWS,AWS Supply Chain,Mitigate risks and lower costs with an ML-powered supply chain application.,Business Applications,Yes,Free Trial,"For the first 60 days of your initial AWS Supply Chain deployment, you receive: 1,000 product SKU location combinations to be used for AWS Supply Chain Insights and Demand Planning, and 10 GB of data storage."
aws-wickr,AWS,AWS Wickr,Protect enterprise communications with enn-to-end encryption.,Business Applications,Yes,Free Trial,"3 Months of premium with up to 30 users, unlimited admin controls, data retention, maximum 5 GB file attachment"
gcp-app-engine,GCP,App Engine,"App Engine enables you to build and host applications on the same systems that power Google applications. App Engine offers fast development and deployment, simple administration, with no need to worry about hardware, patches or backups, and effortless scalability.","Compute, Serverless, Web",Yes,3 Months,available only for the Standard Environment with 28 hours per day of F1 Instances and 9 hours per day of B1 Instances also 1GB of outbound data transfer per day
gcp-batch,GCP,Batch,"Batch is a fully-managed service that allows you to create batch jobs at scale. The service dynamically provisions certain Google Cloud resources, schedules your batch job on the resources, manages the queue for the job, and executes the job. Batch is natively integrated with Google Cloud services for storage, logging, monitoring, and more.",Compute,No,No free tier type,No free tier available
gcp-blockchain-node-engine,GCP,Blockchain Node Engine,Blockchain Node Engine is a fully-managed node-hosting service for Web3 development.,"Compute, Web",No,No free tier type,No free tier available
gcp-compute-engine,GCP,Compute Engine,"Compute Engine offers scalable and flexible virtual machine computing capabilities in the cloud, with options to utilize certain CPUs, GPUs, or Cloud TPUs. You can use Compute Engine to solve large-scale processing and analytic problems on Google's computing, storage, and networking infrastructure.","Compute, Web, App Development, Industry",Yes,3 Months,"1 non-preemptible e2-micro VM instance per month in one of the following US regions include Oregon: us-west1, Iowa: us-central1, South Carolina: us-east1. also 30 GB-months standard persistent disk and 1 GB of outbound data transfer from North America to all region destinations (excluding China and Australia) per month."
gcp-vmware-engine,GCP,VMware Engine,"Managed VMware-as-a-Service that is specifically designed for running VMware workloads on Google Cloud Platform. Vmware Engine enables customers to run VMware virtual machines natively in a dedicated, private, software-defined data center.",Compute,No,No free tier type,No free tier available
gcp-vm-manager,GCP,VM Manager,VM Manager is a suite of tools that enables you to manage operating systems for virtual machine fleets running Windows and Linux on Compute Engine.,Compute,No,No free tier type,No free tier available
gcp-workload-manager,GCP,Workload Manager,"Workload Manager is a rule-based validation service for evaluating workloads running on Google Cloud. If enabled, Workload Manager scans application workloads to detect deviations from standards, rules, and best practices that improve system quality, reliability, and performance.",Compute,No,No free tier type,No free tier available
gcp-gpus,GCP,Cloud GPUs,"GPUs for machine learning, scientific computing, and 3D visualization.",Compute,No,No free tier type,No free tier available
gcp-tpus,GCP,Cloud TPUs,Tensor processing units for machine learning applications.,Compute,No,No free tier type,No free tier available
gcp-spot-vms,GCP,Spot VMs,Compute instances for batch jobs and fault-tolerant workloads.,Compute,No,No free tier type,No free tier available
gcp-migration-center,GCP,Migration Center,Unified platform for migrating and modernizing with Google Cloud.,Compute,No,No free tier type,No free tier available
gcp-deep-learning-vm-image,GCP,Deep Learning VM Image,Preconfigured VMs for deep learning applications.,Compute,No,No free tier type,No free tier available
gcp-migrate-to-virtual-machines,GCP,Migrate to Virtual Machines,Components for migrating VMs and physical servers to Compute Engine.,Compute,No,No free tier type,No free tier available
gcp-shielded-vms,GCP,Shielded VMs,Reinforced virtual machines on Google Cloud.,"Compute, Security",No,No free tier type,No free tier available
gcp-load-balancing,GCP,Cloud Load Balancing,Service for distributing traffic across applications and regions.,Network,No,No free tier type,No free tier available
gcp-cdn,GCP,Cloud CDN,Content delivery network for serving web and video content.,Network,No,No free tier type,No free tier available
gcp-dns,GCP,Cloud DNS,Domain name system for reliable and low-latency name lookups.,Network,No,No free tier type,No free tier available
gcp-private-cloud-vpc,GCP,Virtual Private Cloud (VPC),Virtual network for Google Cloud resources and cloud-based services.,Network,No,No free tier type,No free tier available
gcp-connectivity-center,GCP,Network Connectivity Center,"Deploy, manage, and scale your networks from a single place.",Network,No,No free tier type,No free tier available
gcp-access-system-sas,GCP,Spectrum Access System (SAS),Controls fundamental access to the Citizens Broadband Radio Service (CBRS).,Network,No,No free tier type,No free tier available
gcp-service-tiers,GCP,Network Service Tiers,"Cloud network options based on performance, availability, and cost.",Network,No,No free tier type,No free tier available
gcp-connectivity,GCP,Cloud Connectivity,"Connectivity options for routers, VPN, peering, interconnection and enterprise needs.","Network, Hybrid + Multicloud",No,No free tier type,No free tier available
gcp-intelligence-center,GCP,Network Intelligence Center,"Network monitoring, verification, and optimization platform.",Network,No,No free tier type,No free tier available
gcp-service-connect,GCP,Private Service Connect,Secure connection between your VPC and services.,Network,No,No free tier type,No free tier available
gcp-nat,GCP,Cloud NAT,NAT service for giving private instances internet access.,Network,No,No free tier type,No free tier available
gcp-network-automation,GCP,Telecom Network Automation,Ready to use cloud-native automation for telecom networks.,"Network, Industry",No,No free tier type,No free tier available
gcp-cloud-run,GCP,Cloud Run,Fully managed environment for running containerized apps.,"Serverless, Containers, Developer Tools, App Development, Web",Yes,3 Months,"2 million requests per month, 360,000 GB-seconds of memory, 180,000 vCPU-seconds of compute time, and 1 GB of outbound data transfer from North America per month."
gcp-knative,GCP,Knative,Components to create Kubernetes-native cloud-based software.,"Serverless, Containers",No,No free tier type,No free tier available
gcp-blockchain-rpc,GCP,Blockchain RPC,Enterprise-grade RPC for building on the blockchain.,Web,No,No free tier type,No free tier available
